REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
HXMTAM25;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36843;55.6492;7.019
HXMTAM26;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.33315;53.1994;7.0154
HXMTAM27;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36747;55.5812;7.0132
HXMTAM28;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36563;55.4516;7.0097
HXMTAM29;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36763;55.5924;7.0078
HXMTAM30;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.33746;53.4944;7.0045
HXMTAM31;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36662;55.5218;7.0019
HXMTAM32;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36706;55.5528;6.9993
HXMTAM33;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36674;55.5302;6.9964
HXMTAM34;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36755;55.5868;6.9939
HXMTAM35;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36802;55.62;6.9914
HXMTAM36;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.34163;53.7811;6.9972
HXMTAM24;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.37339;55.9997;7.0195
HXMTAM39;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.35039;54.3873;7.0135
HXMTAM37;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36711;55.5564;7.0014
HXMTAM38;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.3662;55.4923;7.0075
HXMTAM40;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36701;55.5489;7.0187
HXMTAM41;C6 D12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36791;55.6121;7.0194
HXMTAM42;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36802;55.6198;7.0266
HXMTAM44;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36587;55.4685;7.0212
HXMTAM46;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.34987;54.3512;7.0159
HXMTAM45;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.35032;54.3819;7.0192
HXMTAM47;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36615;55.4886;7.0142
HXMTAM48;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.367;55.548;7.0118
HXMTAM49;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.34856;54.26;7.01
HXMTAM51;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36644;55.5087;7.0033
HXMTAM50;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36589;55.4698;7.0046
HXMTAM52;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36722;55.5638;7.0066
HXMTAM53;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36515;55.418;7.0122
HXMTAM54;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36762;55.5921;7.0166
HXMTAM55;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.3661;55.4851;7.0219
HXMTAM56;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36609;55.4839;7.0248
HXMTAM57;C6 H12 N4;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;2.36511;55.4152;7.0278
METHLI01;C1 D3;3 m;I -4 3 m;217;0.296875;0.296875;0.296875;1.00688;4.27567;7.1128
METHLI02;C1 D3;3 m;I -4 3 m;217;0.300275;0.300275;0.300275;0.889734;2.95024;7.2004
