,Unnamed: 0,REFCODE,Formula,SymMol,Cryst_spgr,Spgr_N,C_x,C_y,C_z,Mol_R,Mol_V,Cell_a,CCDC_ID
180,20,KEFDOQ,C48 H42 O13 Zn4,3,I 2 3,197,0.180096,0.180096,0.180096,9.78463,3923.82,23.034,468527
181,21,KOGXIO,C4 H8 O1,m m 2,I 2 3,197,0.215792,1.0,0.0,2.30628,51.3824,20.1191,487327
182,22,KOGXIO,C18 H33 N9 O6 S3 Sn3,3,I 2 3,197,0.197576,0.802424,0.197576,7.86416,2037.19,20.1191,487327
183,23,ALAFIE,C36 Cu4 H84 I4 Sb4,2 3,I 2 3,197,1.0,0.0,0.0,6.96335,1414.27,14.076,19250
184,24,PAVTAK,C12 H24 N3 O19 V6,3,I 2 3,197,0.29059,0.70941,0.29059,5.85379,840.209,19.168,688622
185,25,PAVTAK,H2 O1,m m 2,I 2 3,197,0.4879,0.577467,0.324033,0.966813,3.78533,19.168,688622
186,26,PAVTAK,H2 O1,m m 2,I 2 3,197,0.422533,0.675967,0.4879,0.966813,3.78533,19.168,688622
187,27,PAVTAK,H2 O1,m m 2,I 2 3,197,0.324033,0.5121,0.422533,0.966813,3.78533,19.168,688622
188,28,PIPNAD,C1 F3 S1,m,I 2 3,197,0.65477,0.159158,0.044102,1.74026,22.0759,13.0,706474
189,29,GUPKEJ,C24 H60 Mn4 P4 Te4,2 3,I 2 3,197,0.0,1.0,1.0,6.26806,1031.51,13.1741,328200
190,30,RALVUW,C42 Fe2 H52 N2 O10 Pd3,2,I 2 3,197,0.185318,0.0,0.5,7.96613,2117.48,25.4791,778317
191,31,OLOGIG,C92 Cl2 H92 Lu2 N8,2 2 2,I 2 3,197,0.0,0.5,0.5,9.22571,3289.09,24.629,660538
192,32,TAVGOM,C36 Cs4 F4 Ga4 H84,2 3,I 2 3,197,0.0,0.0,0.0,7.01361,1445.11,13.963,871296
193,33,TIJROV,C18 H48 Mo3 P6 S7,3,I 2 3,197,0.249044,0.750956,0.750956,5.97254,892.385,20.7247,886571
194,34,TIJROV,F6 P1,m -3 m,I 2 3,197,0.0,1.0,0.5,1.61653,17.6939,20.7247,886571
195,35,TUCFOO,C9 H18 N1 Sn1,3,I 2 3,197,0.814305,0.185695,0.814305,3.34397,156.626,13.7856,902683
196,36,TUCFOO,F6 Sb1,m -3 m,I 2 3,197,0.5,0.0,1.0,1.86743,27.2778,13.7856,902683
197,37,VUHYON,C45 H48 Ir1 N9,3,I 2 3,197,0.821589,0.821589,0.821589,6.66133,1238.11,20.745,987776
198,38,VUHYON,F6 P1,m -3 m,I 2 3,197,0.5,1.0,1.0,1.59907,17.1269,20.745,987776
199,39,VUHYON,F6 P1,m -3 m,I 2 3,197,1.0,1.0,1.0,1.57662,16.4156,20.745,987776
200,40,TAVGUS,C36 Cs4 F4 H84 In4,2 3,I 2 3,197,0.0,0.0,0.0,7.19603,1560.82,14.171,871300
201,41,OVEHAB,C96 H108 P4 Pd1,2 3,I 2 3,197,1.0,0.0,1.0,7.99068,2137.11,15.9326,672723
202,42,POSHOU01,C60,1,I 2 3,197,0.811377,0.811377,0.811377,3.55629,188.394,18.8492,716508
203,43,POSHOU01,C4 N4 S6,2 2 2,I 2 3,197,1.0,0.5,1.0,4.24258,319.864,18.8492,716508
204,0,CAFHEX,C18 Co1 H21 N10,3,I -4 3 d,220,0.111852,0.111852,0.111852,5.11709,561.235,20.4455,97493
205,1,BAKYOD,C42 H30 N12 Ni1,3,I -4 3 d,220,0.936097,0.436097,0.0639032,6.95444,1408.84,24.977,50961
206,2,BAKYOD,O4 P1,-4 3 m,I -4 3 d,220,0.5,0.25,0.125,1.52592,14.8825,24.977,50961
207,3,BAKYIX,C42 Co1 H30 N12,3,I -4 3 d,220,0.936003,0.063997,0.563997,6.99852,1435.8,25.104,50957
